freq(Hz),pow(dB/Hz)
0,-10.565796829114307
5.38330078125,-11.659004057346575
10.7666015625,-15.37906251487906
16.14990234375,-22.20955229913323
21.533203125,-16.991044862386197
26.91650390625,-11.078412352684968
32.2998046875,-7.064014625547755
37.68310546875,-3.849872256486923
43.06640625,-1.090170113420672
48.44970703125,1.3213222831544211
53.8330078125,3.3646121675180223
59.21630859375,4.935477192844146
64.599609375,5.896394774470889
69.98291015625,6.102120668888192
75.3662109375,5.392894846326266
80.74951171875,3.569218360186952
86.1328125,0.3847320017299871
91.51611328125,-3.9357722389367416
96.8994140625,-5.473692533866645
102.28271484375,-3.2381744709304012
107.666015625,-1.7249438452507901
113.04931640625,-1.5224259119623553
118.4326171875,-2.4937936767560847
123.81591796875,-4.496993809920537
129.19921875,-7.144910576471913
134.58251953125,-9.429187476914988
139.9658203125,-10.10995162538441
145.34912109375,-9.225408467644273
150.732421875,-8.02215473504251
156.11572265625,-7.490924565793273
161.4990234375,-7.988485292611167
166.88232421875,-9.422276151050003
172.265625,-10.921293403612395
177.64892578125,-10.711008506353899
183.0322265625,-9.015916142823881
188.41552734375,-7.4005443566353835
193.798828125,-6.358652059550179
199.18212890625,-5.8554390361027275
204.5654296875,-5.792962369398977
209.94873046875,-6.1292654061130145
215.33203125,-6.867507037273207
220.71533203125,-7.9566833002356425
226.0986328125,-9.138481793147422
231.48193359375,-9.95009208952074
236.865234375,-10.196899874505313
242.24853515625,-10.202537265757059
247.6318359375,-10.270944578280263
253.01513671875,-10.344398122906306
258.3984375,-10.108770182361361
263.78173828125,-9.374878682091481
269.1650390625,-8.386578770018534
274.54833984375,-7.57556652072434
279.931640625,-7.235265071072613
285.31494140625,-7.486907164956381
290.6982421875,-8.351381124627109
296.08154296875,-9.818065041058539
301.46484375,-11.93177247412478
306.84814453125,-14.889299991738225
312.2314453125,-18.797948269774636
317.61474609375,-21.01862563123091
322.998046875,-18.699684307892497
328.38134765625,-16.508188820995603
333.7646484375,-15.596383114096932
339.14794921875,-15.58767848001951
344.53125,-15.930517479472623
349.91455078125,-16.02276453456145
355.2978515625,-15.394929591848195
360.68115234375,-14.073187902306696
366.064453125,-12.65517177826422
371.44775390625,-11.761360311614293
376.8310546875,-11.75461715252947
382.21435546875,-12.865067090383562
387.59765625,-15.305361570678276
392.98095703125,-18.63285023785382
398.3642578125,-18.705768547605125
403.74755859375,-15.693662042509633
409.130859375,-13.620893330039014
414.51416015625,-12.881341226283201
419.8974609375,-13.324811551537136
425.28076171875,-14.906088240162498
430.6640625,-17.647247897301725
436.04736328125,-20.989914820781593
441.4306640625,-21.668992600728146
446.81396484375,-19.435458550137547
452.197265625,-17.80984126465971
457.58056640625,-17.643106874729746
462.9638671875,-19.229180216518078
468.34716796875,-23.22634059428204
473.73046875,-26.96366369510159
479.11376953125,-21.460038285230475
484.4970703125,-17.440520033716314
489.88037109375,-15.430854097560418
495.263671875,-14.821873072366
500.64697265625,-15.458352977036785
506.0302734375,-17.498078849902623
511.41357421875,-21.207876196371554
516.796875,-23.563441433971516
522.18017578125,-19.88042795247171
527.5634765625,-16.62206424468068
532.94677734375,-14.64041918462662
538.330078125,-13.261287420909456
543.71337890625,-12.052846795600345
549.0966796875,-10.998338868852905
554.47998046875,-10.29052967060739
559.86328125,-10.045884969691947
565.24658203125,-10.211228502483802
570.6298828125,-10.58678055756365
576.01318359375,-10.936357141850428
581.396484375,-11.226128314468287
586.77978515625,-11.784372305911559
592.1630859375,-13.198860318136722
597.54638671875,-16.333379657437042
602.9296875,-23.227029212262703
608.31298828125,-26.187480507947882
613.6962890625,-18.819059863100552
619.07958984375,-16.199634205628108
624.462890625,-15.936622001719611
629.84619140625,-17.306019083470872
635.2294921875,-20.08030499616414
640.61279296875,-24.38390578698989
645.99609375,-30.49961813341308
651.37939453125,-31.33208338128911
656.7626953125,-26.823009530141224
662.14599609375,-23.654010872410254
667.529296875,-21.023803964720578
672.91259765625,-18.758795819068325
678.2958984375,-17.25021884234434
683.67919921875,-16.81753439628672
689.0625,-17.613532614815867
694.44580078125,-19.55476320892349
699.8291015625,-21.77867548497252
705.21240234375,-22.91157812903372
710.595703125,-24.157383850786903
715.97900390625,-27.872656519183735
721.3623046875,-28.938795609476983
726.74560546875,-23.170330786114718
732.12890625,-20.260795289750888
737.51220703125,-19.508467039082614
742.8955078125,-19.533356137772827
748.27880859375,-18.57339840010994
753.662109375,-16.551472866803294
759.04541015625,-14.745614677634627
764.4287109375,-13.779559677691113
769.81201171875,-13.91152942386828
775.1953125,-15.527717135131368
780.57861328125,-19.819646791452396
785.9619140625,-34.29253993767922
791.34521484375,-20.603306563210914
796.728515625,-14.457053045369232
802.11181640625,-11.582734648716212
807.4951171875,-10.312919519610128
812.87841796875,-10.086671023881129
818.26171875,-10.587794027002552
823.64501953125,-11.618303533700459
829.0283203125,-13.133307171855556
834.41162109375,-15.259351038549095
839.794921875,-18.20194179755025
845.17822265625,-22.02313785492003
850.5615234375,-25.772527954680008
855.94482421875,-26.13833681043746
861.328125,-23.800363814404175
866.71142578125,-21.544695633942066
872.0947265625,-19.40004652840871
877.47802734375,-16.816982621947915
882.861328125,-13.99084493138158
888.24462890625,-11.452556654141368
893.6279296875,-9.508344203657371
899.01123046875,-8.308351766130963
904.39453125,-7.953868528063545
909.77783203125,-8.50313655021974
915.1611328125,-9.891068669391561
920.54443359375,-11.659922443054175
925.927734375,-12.736630545830518
931.31103515625,-12.748459101760357
936.6943359375,-12.8137155305059
942.07763671875,-13.901922784710504
947.4609375,-16.494672175882872
952.84423828125,-19.332357264946523
958.2275390625,-16.761392346130734
963.61083984375,-12.834230160322653
968.994140625,-10.271035261924498
974.37744140625,-8.853123304222741
979.7607421875,-8.347521434568801
985.14404296875,-8.654735661075177
990.52734375,-9.644076567874773
995.91064453125,-10.725435218907034
1001.2939453125,-10.601514521591334
1006.67724609375,-9.151103241967943
1012.060546875,-7.696021557433194
1017.44384765625,-6.949395677265645
1022.8271484375,-7.083362902908432
1028.21044921875,-8.164884515755224
1033.59375,-10.299401333837025
1038.97705078125,-13.603270902593938
1044.3603515625,-17.09519094081324
1049.74365234375,-15.801860790212572
1055.126953125,-12.064329039454528
1060.51025390625,-9.499261751917388
1065.8935546875,-8.39404357917509
1071.27685546875,-8.744962430270162
1076.66015625,-10.528372587145554
1082.04345703125,-12.841919262183401
1087.4267578125,-12.482544791902681
1092.81005859375,-10.285574973892942
1098.193359375,-9.004160778940726
1103.57666015625,-9.138480472296695
1108.9599609375,-10.847932261932323
1114.34326171875,-14.440752290386602
1119.7265625,-16.979161659985984
1125.10986328125,-12.80544505218134
1130.4931640625,-9.34740011486319
1135.87646484375,-7.725110534560114
1141.259765625,-7.595244429412663
1146.64306640625,-8.768091043680545
1152.0263671875,-10.734183036714402
1157.40966796875,-11.479843271548045
1162.79296875,-9.965719207466647
1168.17626953125,-8.427469721665187
1173.5595703125,-7.896350646503073
1178.94287109375,-8.391269968192805
1184.326171875,-9.447901233151434
1189.70947265625,-9.66704748530488
1195.0927734375,-8.104327088201856
1200.47607421875,-6.131564454461559
1205.859375,-4.825239802099606
1211.24267578125,-4.3804296260409865
1216.6259765625,-4.612094455595374
1222.00927734375,-5.020923732726892
1227.392578125,-5.01886095945375
1232.77587890625,-4.63612392426517
1238.1591796875,-4.43976700726095
1243.54248046875,-4.823054266420086
1248.92578125,-5.818745398185712
1254.30908203125,-7.042368125943719
1259.6923828125,-7.594769560790137
1265.07568359375,-6.909020055735223
1270.458984375,-5.662786573011688
1275.84228515625,-4.688067134852917
1281.2255859375,-4.3676286181627475
1286.60888671875,-4.793086423692422
1291.9921875,-5.730677997148806
1297.37548828125,-6.352370861577333
1302.7587890625,-5.870863148283032
1308.14208984375,-4.90102062196732
1313.525390625,-4.353368485989714
1318.90869140625,-4.527551892567227
1324.2919921875,-5.3511252273964605
1329.67529296875,-6.467700483921863
1335.05859375,-7.044229226476237
1340.44189453125,-6.26454986463629
1345.8251953125,-4.68577985507226
1351.20849609375,-3.342883188660598
1356.591796875,-2.676519620000268
1361.97509765625,-2.6619053552539103
1367.3583984375,-2.890207059272952
1372.74169921875,-2.700582686329451
1378.125,-1.9306195538126039
1383.50830078125,-1.1323902104941679
1388.8916015625,-0.790993643098249
1394.27490234375,-1.0618579079102617
1399.658203125,-1.8811376016416579
1405.04150390625,-2.9909050334323304
1410.4248046875,-3.927464613228735
1415.80810546875,-4.257701466615123
1421.19140625,-3.981182922403848
1426.57470703125,-3.4373776279880164
1431.9580078125,-2.9593525279437554
1437.34130859375,-2.763821058885021
1442.724609375,-2.9018306517230608
1448.10791015625,-3.1324508522818295
1453.4912109375,-2.926284694167431
1458.87451171875,-2.056390132880888
1464.2578125,-0.9977157105624034
1469.64111328125,-0.30730811526642543
1475.0244140625,-0.2560755154565382
1480.40771484375,-0.9153028182484084
1485.791015625,-2.1833702053999153
1491.17431640625,-3.501160408460629
1496.5576171875,-3.6747802219894705
1501.94091796875,-2.583263095584443
1507.32421875,-1.5238550700926137
1512.70751953125,-1.2854065258325753
1518.0908203125,-2.089492920412559
1523.47412109375,-3.80743987207844
1528.857421875,-5.304891643656946
1534.24072265625,-4.622653743760211
1539.6240234375,-2.8637637528789845
1545.00732421875,-1.8019045205568855
1550.390625,-1.9428080102709426
1555.77392578125,-3.5268483566455213
1561.1572265625,-6.878195707036977
1566.54052734375,-10.208601907817595
1571.923828125,-7.38425777123385
1577.30712890625,-4.403345783120404
1582.6904296875,-3.4595508134924238
1588.07373046875,-4.376593539942115
1593.45703125,-6.964913480839543
1598.84033203125,-9.484766410113775
1604.2236328125,-8.217515220477397
1609.60693359375,-6.137737646040526
1614.990234375,-5.3053050851434245
1620.37353515625,-5.68797644120639
1625.7568359375,-7.098465634249536
1631.14013671875,-9.065350615041194
1636.5234375,-9.296704306326774
1641.90673828125,-6.620063146167602
1647.2900390625,-3.9363524154278484
1652.67333984375,-2.3929870544472105
1658.056640625,-2.108943261156771
1663.43994140625,-3.0774355861393117
1668.8232421875,-4.988730657615758
1674.20654296875,-6.220566171606659
1679.58984375,-5.279329609854621
1684.97314453125,-4.096451071212072
1690.3564453125,-4.069041542434329
1695.73974609375,-5.505189188476541
1701.123046875,-8.444808743620335
1706.50634765625,-12.542008290245699
1711.8896484375,-17.59151799771917
1717.27294921875,-22.781626788346028
1722.65625,-12.870996247712494
1728.03955078125,-7.411433470821026
1733.4228515625,-5.231860634869938
1738.80615234375,-5.818250348856849
1744.189453125,-10.09547791658347
1749.57275390625,-15.495614351701592
1754.9560546875,-7.882597984656105
1760.33935546875,-4.8888572689623695
1765.72265625,-5.317036705231356
1771.10595703125,-9.515085596935988
1776.4892578125,-25.01123769162327
1781.87255859375,-12.355634870792366
1787.255859375,-8.857836328007345
1792.63916015625,-10.518172352139166
1798.0224609375,-17.540545672790078
1803.40576171875,-13.857375252330863
1808.7890625,-9.697988770403791
1814.17236328125,-10.12338356837471
1819.5556640625,-13.667052724187375
1824.93896484375,-11.219141133391016
1830.322265625,-7.207804842681064
1835.70556640625,-6.510768059586487
1841.0888671875,-9.139641156349391
1846.47216796875,-11.83727179743637
1851.85546875,-7.307056915454702
1857.23876953125,-4.658552485303273
1862.6220703125,-4.6873920941015
1868.00537109375,-6.384956804545215
1873.388671875,-6.62187663664389
1878.77197265625,-4.57861385681457
1884.1552734375,-3.4920669204446386
1889.53857421875,-4.268213648911285
1894.921875,-7.307196835455782
1900.30517578125,-14.103709191347063
1905.6884765625,-12.267980070548084
1911.07177734375,-5.586271473281944
1916.455078125,-2.4381978877305435
1921.83837890625,-1.2520782163141142
1927.2216796875,-1.0626572044820821
1932.60498046875,-0.37034279558831285
1937.98828125,1.4680062783079473
1943.37158203125,3.0816203918122724
1948.7548828125,3.474379164163687
1954.13818359375,2.283061516824671
1959.521484375,-0.8404214367211538
1964.90478515625,-6.509317311790676
1970.2880859375,-11.142285619864815
1975.67138671875,-8.216595323419533
1981.0546875,-6.78815854448113
1986.43798828125,-5.510205334005173
1991.8212890625,-2.7806758847281765
1997.20458984375,-0.23844588086604498
2002.587890625,1.2009623351290364
2007.97119140625,1.5633048455506708
2013.3544921875,1.0714835215718215
2018.73779296875,0.00019959717928047334
2024.12109375,-1.2715466694511899
2029.50439453125,-2.2301474792173512
2034.8876953125,-2.6629130209658554
2040.27099609375,-3.142099061355157
2045.654296875,-4.479201585967613
2051.03759765625,-7.037250847763561
2056.4208984375,-9.612133471593491
2061.80419921875,-9.276370934279349
2067.1875,-7.516336594468957
2072.57080078125,-6.027613376333489
2077.9541015625,-4.4063010656694654
2083.33740234375,-1.8306441161860585
2088.720703125,1.2255059984323888
2094.10400390625,3.6835650595650558
2099.4873046875,4.996925362578006
2104.87060546875,4.940510077790309
2110.25390625,3.4297222429303997
2115.63720703125,0.779142220124658
2121.0205078125,-1.2878883207451985
2126.40380859375,0.02737863564048362
2131.787109375,3.627926259805144
2137.17041015625,6.833655427538973
2142.5537109375,8.815017596252098
2147.93701171875,9.622616349289363
2153.3203125,9.634374910720421
