,individuals,tipo,dB 1er armónico - F0
0,A,alfa,27.503985203719864
1,A,alfa,-9.281361743394342
2,A,alfa,2.1491710062026144
3,A,alfa,29.171291048067626
4,A,alfa,-7.248387186401267
5,A,alfa,-7.899327075502827
6,A,alfa,27.773140973266965
7,A,alfa,-9.278092439506352
8,A,alfa,3.072660812482276
9,A,alfa,24.123052658715793
10,A,alfa,-7.561942481609588
11,A,alfa,-6.3411046570420435
12,A,alfa,33.166172888226484
13,A,alfa,-3.1560946035371114
14,A,alfa,0.9429231723898077
15,A,alfa,27.169037134414992
16,A,alfa,-4.029458644907834
17,A,alfa,-7.509830315763887
18,A,alfa,27.83789894041358
19,A,alfa,0.5313244843932647
20,A,alfa,-5.764997484374517
21,A,alfa,25.559769566588706
22,A,alfa,0.3845123710865117
23,A,alfa,-4.128676364536063
24,A,alfa,27.881220633103766
25,A,alfa,-0.837135007252165
26,A,alfa,-9.086403427838711
27,A,alfa,30.831952516477948
28,A,alfa,0.07028236657670561
29,A,alfa,-4.743241121853906
30,A,alfa,30.66387197655054
31,A,alfa,-4.568262323825334
32,A,alfa,-4.16473859600913
33,A,alfa,32.349414470527265
34,A,alfa,-1.1595905098729702
35,A,alfa,1.7678430783993981
36,A,alfa,20.075023775988207
37,A,alfa,-1.9195858696711774
38,A,alfa,-8.612381125694897
39,A,alfa,26.173002592728842
40,A,alfa,-2.5451574051503476
41,A,alfa,-0.7149509384784274
42,A,alfa,27.624977772371626
43,A,alfa,-8.519947716696857
44,A,alfa,-3.7188760362750344
45,A,alfa,26.99914779628736
46,A,alfa,-1.093693339767059
47,A,alfa,-8.284391477270901
48,A,alfa,29.057139891115764
49,A,alfa,-8.236548443222148
50,A,alfa,-1.5772142849539748
51,A,alfa,22.156684143338303
52,A,alfa,-7.003714121535811
53,A,alfa,-2.7537265606482393
54,A,alfa,29.258603637421917
55,A,alfa,-6.697295007811622
56,A,alfa,1.32205763926747
57,A,beta,-3.0596873587494815
58,A,beta,-22.70562022862791
59,A,beta,-11.483307946208614
60,A,beta,1.462188188073351
61,A,beta,-15.923520151060982
62,A,beta,-3.0903529798333125
63,A,beta,4.686608947964277
64,A,beta,-10.937186846659044
65,A,beta,-0.6692157933547058
66,A,beta,8.541192763389777
67,A,beta,-8.095138735561243
68,A,beta,-7.836682462327941
69,A,beta,4.6418497184993415
70,A,beta,-7.5896949115688574
71,A,beta,-5.096009538457031
72,A,beta,0.4129023098590805
73,A,beta,-7.136527558281243
74,A,beta,1.3097745106419065
75,A,beta,-0.16199308264313572
76,A,beta,-13.965257927774784
77,A,beta,-5.186445720703283
78,A,beta,9.347565175179936
79,A,beta,-17.558987452754998
80,A,beta,8.609520880508208
81,A,beta,-6.087778086234321
82,A,beta,-15.621451105604677
83,A,beta,-15.568157299470178
84,A,beta,2.350549588455652
85,A,beta,-14.936691678545909
86,A,beta,-3.700802800017523
87,A,beta,6.956059894657516
88,A,beta,-9.959422137547072
89,A,beta,-21.46107874073278
90,A,beta,2.660138353752097
91,A,beta,-5.346376288726786
92,A,beta,5.6873051673576125
93,A,beta,4.2196432327047715
94,A,beta,-10.646530203060642
95,A,beta,-8.734418166899797
96,A,beta,0.7079714255512131
97,A,beta,-10.729584040776171
98,A,beta,-11.312731594942887
99,A,beta,-1.6831866113622684
100,A,beta,-11.925753263057562
101,A,beta,-10.791400773553079
102,A,beta,-3.9810114400614887
103,A,beta,-13.924639436117227
104,A,beta,-18.257243745951012
105,A,beta,0.8560059815458656
106,A,beta,-10.78909932406887
107,A,beta,-17.875742885370048
108,A,beta,1.0983396707049602
109,A,beta,-4.842021969988181
110,A,beta,-8.391364480971061
111,A,beta,19.23061927773648
112,A,beta,-9.753253417708738
113,A,beta,-24.91140172868081
114,A,beta,11.187651537249552
115,A,beta,-7.383895306768986
116,A,beta,-8.773355514157046
117,A,beta,10.737473951072998
118,A,beta,-1.8023307646310025
119,A,beta,-10.353724158872366
120,A,beta,-1.95215839871888
121,A,beta,-6.000570545276863
122,A,beta,-10.98378765663826
123,A,beta,8.642660692803839
124,A,beta,-16.73488797854528
125,A,beta,1.6247740463379738
126,A,beta,17.041862826563374
127,A,beta,-1.4256656082489596
128,A,beta,-24.73839497331118
129,B,alfa,30.15402406814644
130,B,alfa,-5.251838800457488
131,B,alfa,0.5180130287086406
132,B,alfa,20.817208029033303
133,B,alfa,-4.407772928829637
134,B,alfa,7.116374948409732
135,B,alfa,27.2962955291501
136,B,alfa,-9.175946222097604
137,B,alfa,0.7750836508838841
138,B,alfa,22.047936126763076
139,B,alfa,-8.600974342553057
140,B,alfa,-0.2708061330364906
141,B,alfa,21.632886265205578
142,B,alfa,-11.380646639743007
143,B,alfa,6.832862177783957
144,B,alfa,30.749789890889737
145,B,alfa,5.203507419019406
146,B,alfa,3.913592038964943
147,B,alfa,24.074989870218445
148,B,alfa,-7.147728033250914
149,B,alfa,2.88811891881231
150,B,alfa,26.329304083242153
151,B,alfa,-4.116538231210164
152,B,alfa,-1.300472601824648
153,B,alfa,30.101717469189683
154,B,alfa,2.6683054379341407
155,B,alfa,3.6353072421275776
156,B,alfa,15.794613953425902
157,B,alfa,2.416629052280905
158,B,alfa,-0.08538833192355644
159,B,alfa,20.97840835945541
160,B,alfa,-15.150216523247535
161,B,alfa,4.8221615246302925
162,B,beta,-7.4371956367173535
163,B,beta,-8.288286020701543
164,B,beta,-0.13701517833790078
165,B,beta,-7.2818864346207715
166,B,beta,-9.604313605805622
167,B,beta,-9.313598478955013
168,B,beta,-7.2818864346207715
169,B,beta,-9.604313605805622
170,B,beta,-9.313598478955013
171,B,beta,10.853510423193592
172,B,beta,-8.461798169872992
173,B,beta,-18.57061101232426
174,B,beta,18.251074409882833
175,B,beta,-6.827844272590066
176,B,beta,-25.647383694602617
177,B,beta,-2.406253145884465
178,B,beta,-16.49341426904284
179,B,beta,18.251074409882833
180,B,beta,-6.827844272590066
181,B,beta,-25.647383694602617
182,B,beta,3.1751531355821405
183,B,beta,-24.12928105282549
184,B,beta,-15.62933540802986
185,B,beta,-7.2818864346207715
186,B,beta,-9.604313605805622
187,B,beta,-9.313598478955013
188,B,beta,3.1751531355821405
189,B,beta,-24.12928105282549
190,B,beta,-15.62933540802986
191,B,beta,-10.686941656273664
